Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
07/10/2022,19:00,Groningen,Waalwijk,2,3,A,2.3,3.45,3.03,1.87,1.92,1457.446431847519,1514.0155006569205,-56.569068809401415,0.8,1.6,1,1,3,2.8,1.6,2,2,1,0,0,0,0.0,0.0
08/10/2022,15:30,Volendam,Ajax,2,4,A,13.16,8.1,1.17,1.2,4.26,1431.1707730585777,1569.9775117423778,-138.80673868380018,0.8,3.4,0,1,4,2.6,0.6,3,1,1,0,0,0,0.0,0.0
08/10/2022,17:45,Sparta Rotterdam,FC Emmen,3,1,H,2.09,3.42,3.48,1.91,1.87,1516.8935606251785,1435.56308762034,81.3304730048385,1.8,1.2,3,1,1,0.2,2.2,0,1,4,0,0,0,0.0,0.0
08/10/2022,20:00,Nijmegen,Excelsior,1,1,D,1.5,4.51,5.94,1.53,2.43,1500.9370561633887,1467.334857758637,33.60219840475156,0.6,0.6,0,5,0,0.8,2.4,1,0,4,0,0,0,0.0,0.0
09/10/2022,11:15,Go Ahead Eagles,Cambuur,0,0,D,2.22,3.69,2.98,1.67,2.18,1468.1558603043156,1465.980432068496,2.175428235819709,1.8,1.6,2,1,2,0.8,2.2,1,0,4,0,0,0,0.0,0.0
09/10/2022,13:30,Utrecht,AZ Alkmaar,1,2,A,2.94,3.58,2.28,1.72,2.1,1501.734761903265,1593.101357876712,-91.36659597344692,1.2,1.0,3,1,1,2.2,0.8,3,2,0,0,0,0,0.0,0.0
09/10/2022,13:30,Feyenoord,Twente,2,0,H,1.67,4.02,4.71,1.62,2.25,1563.0479479986734,1524.8550188171755,38.1929291814979,3.0,1.6,3,1,1,2.2,0.8,3,1,1,0,0,0,0.0,0.0
09/10/2022,15:45,Heerenveen,PSV Eindhoven,0,1,A,5.24,4.37,1.57,1.58,2.33,1511.4271828862707,1563.2059183882302,-51.778735501959545,0.8,1.4,2,2,1,2.6,1.8,3,0,2,0,0,0,0.0,0.0
09/10/2022,19:00,Vitesse,For Sittard,1,2,A,1.62,4.2,4.9,1.59,2.32,1434.3438451854831,1480.8088950984393,-46.46504991295615,0.8,1.4,1,2,2,1.6,1.4,2,1,2,0,0,0,0.0,0.0
14/10/2022,19:00,FC Emmen,Volendam,1,1,D,1.94,3.71,3.7,1.69,2.14,1435.3734662590296,1431.360394419888,4.013071839141503,0.4,2.0,0,1,4,1.0,2.8,0,1,4,0,0,0,0.0,0.0
15/10/2022,17:45,For Sittard,Waalwijk,0,0,D,2.23,3.68,2.97,1.61,2.29,1482.2381900307184,1512.5862057246413,-30.34801569392289,1.8,1.2,3,1,1,3.0,1.6,3,1,1,0,0,0,0.0,0.0
15/10/2022,19:00,Go Ahead Eagles,Heerenveen,1,1,D,2.81,3.31,2.5,1.99,1.81,1470.0144336875094,1509.568609503077,-39.55417581556753,1.8,1.4,2,2,1,0.4,1.4,1,2,2,0,0,0,0.0,0.0
