HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
Marseille,St Etienne,1,0,H,1.99,3.5,3.82,1.91,1.9
Lille,Angers,2,1,H,1.96,3.3,4.27,2.2,1.67
Amiens,Lyon,2,2,D,5.07,3.74,1.71,1.93,1.88
Paris SG,Strasbourg,1,0,H,1.2,7.14,13.3,1.46,2.7
Bordeaux,Metz,2,0,H,1.85,3.37,4.71,2.51,1.53
Brest,Rennes,0,0,D,3.2,3.21,2.34,2.09,1.75
Dijon,Nimes,0,0,D,2.72,3.35,2.6,1.92,1.89
Montpellier,Nice,2,1,H,1.94,3.28,4.37,2.43,1.56
Nantes,Reims,1,0,H,2.16,3.0,3.91,2.63,1.49
St Etienne,Toulouse,2,2,D,1.65,3.93,5.21,1.87,1.94
Monaco,Marseille,3,4,A,2.41,3.53,2.83,1.86,1.95
Strasbourg,Nantes,2,1,H,2.56,3.02,3.05,2.55,1.51
Marseille,Montpellier,1,1,D,1.98,3.27,4.14,2.13,1.72
Bordeaux,Brest,2,2,D,1.77,3.48,5.03,2.17,1.69
Metz,Amiens,1,2,A,2.09,3.08,4.04,2.65,1.48
Nice,Dijon,2,1,H,1.75,3.64,4.91,2.07,1.76
Nimes,Toulouse,1,0,H,2.03,3.45,3.73,1.92,1.89
Reims,Monaco,0,0,D,2.6,3.18,2.84,2.23,1.66
Rennes,Lille,1,1,D,2.51,3.09,3.03,2.3,1.62
Angers,St Etienne,4,1,H,2.16,3.28,3.55,2.06,1.77
Lyon,Paris SG,0,1,A,3.79,4.06,1.85,1.42,2.85
Dijon,Marseille,0,0,D,3.61,3.4,2.09,2.02,1.81
Monaco,Nice,3,1,H,1.98,3.54,3.83,1.85,1.96
Amiens,Bordeaux,1,3,A,2.51,3.0,3.12,2.67,1.48
Brest,Lyon,2,2,D,4.57,3.86,1.74,1.8,2.02
Lille,Strasbourg,2,0,H,1.81,3.45,4.75,2.22,1.67
Montpellier,Nimes,1,0,H,1.89,3.52,4.18,2.09,1.75
Nantes,Rennes,1,0,H,2.29,3.13,3.38,2.37,1.59
St Etienne,Metz,0,1,A,1.79,3.59,4.67,2.04,1.79
Toulouse,Angers,0,2,A,2.68,3.21,2.73,2.13,1.72
Paris SG,Reims,0,2,A,1.16,7.76,16.93,1.36,3.12
Lyon,Nantes,0,1,A,1.56,4.0,6.21,1.9,1.91
Bordeaux,Paris SG,0,1,A,5.96,4.57,1.51,1.61,2.31
Angers,Amiens,1,1,D,1.73,3.46,5.48,2.28,1.62
Metz,Toulouse,2,2,D,2.12,3.25,3.69,2.2,1.67
Monaco,Brest,4,1,H,1.51,4.32,6.34,1.66,2.22
Nice,Lille,1,1,D,2.88,3.19,2.55,2.11,1.73
Reims,Dijon,1,2,A,1.77,3.42,5.2,2.31,1.61
Strasbourg,Montpellier,1,0,H,2.47,3.07,3.12,2.44,1.56
Nimes,St Etienne,0,1,A,2.32,3.39,3.07,1.87,1.94
Marseille,Rennes,1,1,D,1.97,3.46,3.94,2.06,1.77
Amiens,Marseille,3,1,H,3.3,3.23,2.3,2.3,1.62
Paris SG,Angers,4,0,H,1.2,7.2,13.01,1.36,3.1
Brest,Metz,2,0,H,2.46,3.24,2.97,2.18,1.69
Dijon,Strasbourg,1,0,H,2.7,3.09,2.79,2.28,1.63
Montpellier,Monaco,3,1,H,2.89,3.28,2.49,1.91,1.9
Nantes,Nice,1,0,H,2.0,3.37,3.93,2.19,1.68
Toulouse,Bordeaux,1,3,A,2.55,3.11,2.95,2.18,1.69
Lille,Nimes,2,2,D,1.64,3.9,5.41,1.78,2.05
Rennes,Reims,0,1,A,2.16,3.18,3.66,2.43,1.55
St Etienne,Lyon,1,0,H,3.35,3.67,2.08,1.55,2.44
Nice,Paris SG,1,4,A,7.68,4.57,1.43,1.67,2.21
Lyon,Dijon,0,0,D,1.36,5.26,8.23,1.51,2.53
Angers,Brest,0,1,A,1.63,3.69,6.03,2.05,1.78
Metz,Nantes,1,0,H,2.73,3.03,2.83,2.63,1.49
Nimes,Amiens,1,1,D,2.04,3.34,3.85,2.07,1.76
Reims,Montpellier,1,0,H,2.2,2.97,3.85,2.64,1.48
Toulouse,Lille,2,1,H,3.47,3.31,2.18,2.04,1.78
Bordeaux,St Etienne,0,1,A,2.28,3.23,3.31,2.28,1.63
Monaco,Rennes,3,2,H,1.81,3.72,4.42,1.89,1.91
Marseille,Strasbourg,2,0,H,1.85,3.44,4.6,2.09,1.74
Nantes,Monaco,0,1,A,2.91,3.21,2.56,2.04,1.79
Lille,Bordeaux,3,0,H,1.81,3.59,4.54,2.08,1.75
Brest,Dijon,2,0,H,2.34,3.19,3.21,2.22,1.66
Lyon,Metz,2,0,H,1.44,4.47,7.55,1.78,2.04
Montpellier,Angers,0,0,D,2.26,3.12,3.45,2.35,1.6
Reims,Nimes,0,0,D,1.84,3.38,4.69,2.24,1.65
Strasbourg,Nice,1,0,H,1.98,3.24,4.23,2.24,1.65
Rennes,Toulouse,3,2,H,1.96,3.28,4.23,2.15,1.7
St Etienne,Amiens,2,2,D,1.86,3.51,4.38,2.05,1.78
Paris SG,Marseille,4,0,H,1.23,6.56,11.49,1.4,2.93
Dijon,Paris SG,2,1,H,13.83,7.15,1.2,1.38,3.01
Marseille,Lille,2,1,H,2.26,3.26,3.33,2.07,1.76
Amiens,Brest,1,0,H,1.76,3.76,4.64,1.96,1.85
Angers,Strasbourg,1,0,H,2.06,3.13,4.08,2.4,1.57
Metz,Montpellier,2,2,D,2.7,3.08,2.81,2.44,1.55
Toulouse,Lyon,2,3,A,4.42,3.77,1.79,1.72,2.13
Bordeaux,Nantes,2,0,H,2.33,3.02,3.46,2.75,1.45
Nice,Reims,2,0,H,2.63,3.05,2.9,2.5,1.53
St Etienne,Monaco,1,0,H,2.83,3.49,2.43,1.72,2.13
Nice,Bordeaux,1,1,D,2.43,3.07,3.2,2.41,1.57
Brest,Paris SG,1,2,A,12.04,6.87,1.22,1.43,2.81
Lille,Metz,0,0,D,1.59,3.94,5.98,2.14,1.71
Monaco,Dijon,1,0,H,1.41,4.78,7.43,1.57,2.4
Reims,Angers,0,0,D,2.29,3.0,3.56,2.69,1.46
Strasbourg,Nimes,4,1,H,1.89,3.36,4.46,2.22,1.66
Rennes,Amiens,3,1,H,2.14,3.27,3.59,2.21,1.67
Montpellier,Toulouse,3,0,H,1.78,3.55,4.77,2.1,1.74
Nantes,St Etienne,2,3,A,2.12,3.16,3.81,2.43,1.56
Marseille,Lyon,2,1,H,2.62,3.39,2.65,1.84,1.98
Paris SG,Lille,2,0,H,1.27,5.92,10.59,1.45,2.69
Lyon,Nice,2,1,H,1.45,4.48,7.03,1.71,2.15
Amiens,Strasbourg,0,4,A,2.47,3.02,3.15,2.36,1.59
Angers,Nimes,1,0,H,1.7,3.68,5.2,2.06,1.77
Brest,Nantes,1,1,D,2.88,3.11,2.59,2.26,1.64
Dijon,Rennes,2,1,H,2.85,3.27,2.52,2.12,1.72
Metz,Reims,1,1,D,2.8,2.9,2.84,2.79,1.44
Bordeaux,Monaco,2,1,H,3.28,3.48,2.17,1.87,1.94
St Etienne,Montpellier,0,0,D,2.33,3.21,3.19,2.28,1.63
Toulouse,Marseille,0,2,A,3.17,3.42,2.23,1.99,1.82
Marseille,Brest,2,1,H,1.41,4.6,8.21,1.81,2.01
Strasbourg,Lyon,1,2,A,2.76,3.23,2.62,2.0,1.82
Lille,Dijon,1,0,H,1.51,4.12,6.82,1.95,1.87
